,,,,
,SUMMER WORK AND TRAVEL,,,
,,,,
,OBJETO,MENSAJE,,
,INFO INICIAL,"Te voy a enviar la información general del programa para que la revises con calma 😊

📚 Work and Travel USA 🇺🇸 es un programa de intercambio cultural avalado por el gobierno de EE. UU. que permite a estudiantes universitarios trabajar legalmente en Estados Unidos durante sus vacaciones de verano (de mayo a agosto).

🌟 Es una gran oportunidad para:
✔️ Trabajar y ganar en dólares
✔️ Viajar y conocer nuevas culturas
✔️ Mejorar tu nivel de inglés
✔️ Vivir una experiencia inolvidable",,
,,,,
,,,,
,,,,
,,,,
,,,,
,REQUISITOS,"⚠️ Requisitos para aplicar:
✅ Ser estudiante universitario activo (modalidad presencial)
✅ Tener entre 18 y 26 años
✅ Inglés conversacional (intermedio o avanzado)

Si por alguna razón no cumples con alguno de los requisitos, ¡no te preocupes! 😊
Podemos revisar otras opciones de programas que se ajusten mejor a tu perfil ✨",,
,,,,
,,,,
,,,,
,,"Si cumples con los requisitos mencionados anteriormente, lo primero es que puedas asistir a una de nuestras charlas explicativas acerca del programa Summer Work and Travel USA 🇺🇸, para que puedas conocer nuestra propuesta acerca del programa y despejar todas las dudas que tengas sobre el mismo.",,
,,,,
,,,,
,REGISTRO,"Por favor, regálame los siguientes datos para hacer tu registro:

✅ Nombre completo
✅ Número de contacto
✅ Correo electrónico
✅ Ciudad",,
,,,,
,,,,
,,,,
,,,,
,CHARLA VIRTUAL,"Mira, en el siguiente link ➡️ 🔗 bit.ly/CharlaVirtualWaTCO , te puedes registrar para agendar tu asistencia a nuestra charla virtual sobre el programa Work and Travel USA 🇺🇸.",,
,,,,
,,,,
,CHARLA PRESENCIAL,"Mira, en el siguiente link ➡️ 🔗 bit.ly/CharlaWaTPresencial , te puedes registrar para agendar tu asistencia a nuestra charla presencial en nuestra fabulosa SEDE ICE BGA sobre el programa Work and Travel USA.",,
,,,,
,,,,
,CORREO PARA PASAPORTE ,pasaportes@santander.gov.co,,
